Компания;Департамент;Подразделение;Отдел;Должность;Тип тругового договора;Ставка (FTE);Город
ООО ТФН;Дивизион АВТО;Объединение Центр;ОП в г. Воронеже;Инженер-консультант;Трудовой договор;1;Уфа
ООО ТФН;Дивизион АВТО;Объединение Центр;ОП в г. Воронеже;Технический специалист;Трудовой договор;1;Воронеж
ООО ТФН;Дивизион АВТО;Объединение Центр;ОП в г. Воронеже;Кладовщик-экспедитор;Трудовой договор;1;Воронеж
ООО ТФН;Дивизион АВТО;Объединение Центр;Отдел региональных продаж в г. Воронеже;Менеджер по продажам;Трудовой договор;1;Воронеж
ООО ТФН;Дивизион АВТО;Объединение Центр;Отдел региональных продаж в г. Воронеже;Руководитель отдела;Трудовой договор;1;Воронеж
ООО ТФН;Дивизион АВТО;Объединение Юг;;Руководитель объединения;Трудовой договор;1;Краснодар
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Краснодаре;Финансовый менеджер;Трудовой договор;1;Краснодар
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Краснодаре;Менеджер по продажам;Трудовой договор;1;Краснодар
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Краснодаре;Менеджер по работе с клиентами;Трудовой договор;1;Краснодар
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Краснодаре;Ведущий инженер-консультант;Трудовой договор;1;Краснодар
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Краснодаре;Руководитель отдела продаж;Трудовой договор;1;Краснодар
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Краснодаре;Менеджер по логистике;Трудовой договор;1;Краснодар
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Волгограде;Менеджер по продажам;Трудовой договор;1;Волгоград
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Волгограде;Менеджер по работе с клиентами;Трудовой договор;1;Волгоград
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Волгограде;Технический специалист;Трудовой договор;1;Волгоград
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Ставрополе;Менеджер по продажам;Трудовой договор;1;Ставрополь
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Ставрополе;Инженер-консультант;Трудовой договор;1;Ставрополь
ООО ТФН;Дивизион АВТО;Объединение Юг;ОП в г. Ростове-на-Дону;Водитель-кладовщик;Трудовой договор;1;Ростов-на-Дону
